Model,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Price
TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,23,46986,Diesel,90,1,0,2000,3,1165,13500
TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,23,72937,Diesel,90,1,0,2000,3,1165,13750
 TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,24,41711,Diesel,90,1,0,2000,3,1165,13950
TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,26,48000,Diesel,90,0,0,2000,3,1165,14950
TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,30,38500,Diesel,90,0,0,2000,3,1170,13750
TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,32,61000,Diesel,90,0,0,2000,3,1170,12950
 TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,27,94612,Diesel,90,1,0,2000,3,1245,16900
TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,30,75889,Diesel,90,1,0,2000,3,1245,18600
 TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,27,19700,Petrol,192,0,0,1800,3,1185,21500
 TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,23,71138,Diesel,69,0,0,1900,3,1105,12950
TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,25,31461,Petrol,192,0,0,1800,3,1185,20950
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,22,43610,Petrol,192,0,0,1800,3,1185,19950
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,25,32189,Petrol,192,0,0,1800,3,1185,19600
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,31,23000,Petrol,192,1,0,1800,3,1185,21500
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,32,34131,Petrol,192,1,0,1800,3,1185,22500
TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,28,18739,Petrol,192,0,0,1800,3,1185,22000
 TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,30,34000,Petrol,192,1,0,1800,3,1185,22750
 TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,24,21716,Petrol,110,1,0,1600,3,1105,17950
TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,24,25563,Petrol,110,0,0,1600,3,1065,16750
TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,30,64359,Petrol,110,1,0,1600,3,1105,16950
